insee,commune,dep,lon,lat,pt,Température moyenne annuelle (°C)__reference,Température moyenne annuelle (°C)__basse,Température moyenne annuelle (°C)__mediane,Température moyenne annuelle (°C)__haute,Température moyenne en été (°C)__reference,Température moyenne en été (°C)__basse,Température moyenne en été (°C)__mediane,Température moyenne en été (°C)__haute,Température moyenne en hiver (°C)__reference,Température moyenne en hiver (°C)__basse,Température moyenne en hiver (°C)__mediane,Température moyenne en hiver (°C)__haute,Nombre de jours avec Tx ≥ 35°C (j/an)__reference,Nombre de jours avec Tx ≥ 35°C (j/an)__basse,Nombre de jours avec Tx ≥ 35°C (j/an)__mediane,Nombre de jours avec Tx ≥ 35°C (j/an)__haute,Nombre de nuits tropicales (j/an)__reference,Nombre de nuits tropicales (j/an)__basse,Nombre de nuits tropicales (j/an)__mediane,Nombre de nuits tropicales (j/an)__haute,Cumul de précipitations annuelles (mm)__reference,Cumul de précipitations annuelles (mm)__basse,Cumul de précipitations annuelles (mm)__mediane,Cumul de précipitations annuelles (mm)__haute
62468,Humières,62,2.2077763412919102,50.38496493667731,,10.063251706220786,12.696090288646989,12.94456771648524,13.223045144323494,16.52654173188192,18.72156089160209,19.772425458631616,20.416993175116858,3.788439108397906,5.55061968569188,6.449097113530133,7.041277690824106,0.1,0.3761286080873346,1.7218057729397354,4.413160102644537,0.4,2.652257216174669,6.097934381027071,10.400000000000002,955.3847962591968,924.2224372339936,1029.1886508710109,1125.865029119679
62088,Bayenghem-lès-Seninghem,62,2.0760175560541976,50.70500978681197,,9.85,12.43,12.75,13.09,16.29,18.51,19.56,20.27,3.55,5.33,6.29,6.87,0.1,0.3,1.5,4.4,0.3,2.0,6.3,10.6,993.58,942.91,1066.41,1233.59
59234,Flers-en-Escrebieux,59,3.0512381869950587,50.40139419928958,,10.797293297954257,13.558818102199744,13.768818102199743,14.065768493708765,17.855260225626935,20.45627676179059,21.165768493708768,21.93424368946328,3.9403429064452338,5.799834638363404,6.650851174527063,7.281867710690723,0.2,1.2101653616365962,3.294917319181702,6.774586595908509,1.5644212342719133,11.391610086449775,15.601775448086377,20.145865959085093,711.3496100083823,661.5439651240222,783.0778223771239,846.4232531671595
62880,Le Wast,62,1.799352702402606,50.75039892105354,,10.03,12.64,12.98,13.41,16.45,18.65,19.67,20.6,3.77,5.59,6.62,7.13,0.1,0.2,1.5,3.8,0.4,2.5,6.2,13.7,983.63,952.58,1054.45,1227.17
62768,Saint-Rémy-au-Bois,62,1.8685250092535783,50.36768574894519,,10.419217912807724,13.044995525278624,13.340131852822443,13.715966660658935,16.850314349338884,18.96007465745685,20.14128912152575,20.72566613660476,4.201800011062905,6.053473263542439,7.004870224127776,7.565268180366267,0.1,0.5817721420963693,2.171745730562356,4.693344829129428,0.4455951159544586,3.528913533549873,7.339548266805352,12.700050942390764,885.6751122832948,852.2696825160065,953.9887424813012,1095.3792949477652
59487,Radinghem-en-Weppes,59,2.897971961561739,50.62848830976612,,10.650991683110975,13.335428023679809,13.571388356355367,13.831586692977565,17.420856047359614,19.84549072455064,20.61760972652396,21.340125401741663,4.090928982240145,5.949206653511219,6.7911273188623404,7.421127318862341,0.1403966732443908,0.8019833662219542,2.782776712710736,5.827140118399035,0.8251567521770807,6.10856047359614,10.197287284972738,13.245617423104944,709.2912642514264,657.7164606428296,769.7234548914676,878.1425962504827
62376,Gonnehem,62,2.5671621668896267,50.56463727838067,,10.487074644764494,13.123090709740469,13.377181863541436,13.637733413094663,17.070675341990547,19.39494491198638,20.19430607984368,20.88576742834083,4.123282328639454,5.935150222078304,6.831343726271501,7.421507474295781,0.1,0.6000000000000001,2.200889638530221,4.900045637309801,0.3009352758400214,2.639228420457046,6.00192107387808,8.507578366228008,710.0504350780272,672.0260464779114,783.4907068277914,875.2939183034424
59144,Château-l'Abbaye,59,3.474977641912137,50.48592241044311,,10.831531930370192,13.612297895555288,13.871531930370192,14.12191491296274,18.00153193037019,20.67268087814784,21.461148947777644,22.12191491296274,3.891531930370193,5.77191491296274,6.63191491296274,7.261531930370192,0.2,1.4153193037019194,3.5114894777764394,7.5808508703726,1.4038298259254798,10.4191491296274,15.13063860740384,20.52297895555288,703.7990633151912,659.0868087814783,770.76,858.9665992462559
62761,Saint-Martin-sur-Cojeul,62,2.851678526112325,50.22880046794799,,10.25468191566202,13.060308156626016,13.24468191566202,13.521868795180024,17.30468191566202,19.88312127710801,20.603121277108013,21.37749503614402,3.404681915662021,5.2590556746980255,6.090616313252033,6.744681915662021,0.1,1.4718687951800231,3.1281312048199768,5.9,0.7281312048199767,5.7,10.33121277108014,13.818687951800232,689.7387371928048,650.2078826144657,775.3776737349594,813.3005948676074
62767,Saint-Pol-sur-Ternoise,62,2.3500276239708784,50.38850444408988,,9.817586240681932,12.585116836933867,12.825279048937738,13.08741402739991,16.600504953765018,18.990015817433875,19.96791066468967,20.674577872328456,3.214832239922252,5.044662526959769,5.9345003149559,6.59432560135434,0.1,0.6461438348838905,2.2493880749612507,5.370862875559901,0.4,3.121848067364447,6.962502243412647,10.0185788240917,864.6546486070359,818.1221227662611,929.4688401699171,1029.0970099260776
